brand,category,ad_text,format,start_date,platform,url,primary_theme,theme_list,theme_count,ad_age_days,matched_page_name,page_id,ad_archive_id,raw_display_format,text_length,has_text,cta_text,link_caption,page_verification,page_likes,competitor_why,brand_query,image_count,video_count,expected_theme_slots
BabyOrgano,Baby care,"Parents, this one’s for you ❤️ Your child’s favourite product is now available at a special Deal of the Day price! 🎉 Same trusted quality. Better price. Only for a limited time. Don’t miss the chance to save while giving your little one the best 🌿✨",carousel,2026-02-27,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=1902760263937522,discount / offer,['discount / offer'],1,9,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1902760263937522,DPA,248,yes,Shop now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,7,0,5
BabyOrgano,Baby care,"There was a time when every child was given Swarnaprashan for strength and immunity. Some traditions don’t fade — they just get forgotten. BabyOrgano Baalprashan brings back this time-tested Ayurvedic ritual to support immunity, digestion, and overall growth in today’s children. Because strong foundations in childhood last a lifetime 💛",video,2026-02-27,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1246401254289564,parenting pain point,['parenting pain point'],1,9,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1246401254289564,VIDEO,337,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,{{product.brand}},carousel,2026-02-27,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1370690594815056,other / unclassified,['other / unclassified'],1,9,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1370690594815056,DCO,17,yes,Install now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,2,0,5
BabyOrgano,Baby care,"Delicious meets Nutritious! Fuel your child’s day with Nutriverse Chocovita Milk Mix – a tasty blend of chocolate and over 8 powerful Ayurvedic herbs like Brahmi, Shankhpushpi, Hadjod & Anantmool. 🍫 Strengthens bones & muscles ⚡ Boosts energy, stamina & focus 🧠 Improves memory and concentration 🍯 Naturally sweetened with jaggery, honey, dates & mishri 💚 No refined sugar | No harmful additives A yummy chocolate drink your kids will love—and you’ll trust!",video,2026-02-26,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1522517306116538,testosterone,['testosterone'],1,10,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1522517306116538,VIDEO,457,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"Classical Ayurveda demands accuracy. Sitopaladi works only when the formulation is right. Choose an authentic, ready-to-use option with BabyOrgano Sitopaladi Churna. Follow for more Ayurvedic wisdom. . . . #babyorgano #foryou #explorepage #explore #trendingnow",video,2026-02-13,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=857051634038319,parenting pain point,['parenting pain point'],1,23,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,857051634038319,VIDEO,260,yes,Learn more,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"Using a nasal spray? Pause for a second. 🤚 Recent reports are a reminder that what goes inside tiny noses matters more than we think. Contaminated sprays can do real harm, especially to kids and anyone with low immunity. That’s why application matters just as much as the ingredient list. A cold relief roll-on skips direct nasal contact and keeps things gentler for little ones. Simple switch. Smarter care. Because relief shouldn’t come with a risk. Save this. Share it with a parent who needs to see it! and commen.t ""CRO"" for the link!",carousel,2026-02-09,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=1806802359995226,discount / offer,"['discount / offer', 'parenting pain point']",2,27,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1806802359995226,CAROUSEL,539,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,5,0,5
BabyOrgano,Baby care,"Every parent knows that sleepless nights often start with a single cough. 😔 But what if your child’s cough syrup is also making them drowsy during the day? Now say no to dull mornings and hello to natural relief with BabyOrgano Kanthaprash Cough Syrup, the Ayurvedic solution that soothes the throat, clears stubborn mucus, and helps your little one breathe easy, without the sleepiness that comes with chemical-based syrups. Formulated with clinically proven herbs like Pushkarmool, Amba Haldi, Mulethi, and Kantakari, this gentle yet powerful blend supports faster recovery from dry or wet cough. - 100% Ayurvedic - Non-drowsy & kid-safe - Sweetened with Honey & Sharkara for a taste kids love Because when nature heals, it heals completely 🌿",carousel,2026-02-08,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=4305317703060135,doctor authority,"['doctor authority', 'parenting pain point', 'sleep / stress']",3,28,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,4305317703060135,CAROUSEL,744,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,5,0,5
BabyOrgano,Baby care,"Soothe your child’s cough the Ayurvedic way with BabyOrgano Kanthprash Cough Syrup! A gentle, non-drowsy formula made with Pushkarmool, AmbaHaldi & Mulethi — it relieves dry and wet cough, clears congestion, and strengthens immunity. Safe, natural, and effective for daily use. 🌿",video,2026-02-08,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=918710874013536,parenting pain point,['parenting pain point'],1,28,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,918710874013536,VIDEO,279,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
BabyOrgano,Baby care,"Nutriverse Kesar Haldi Mix, Golden milk for your kid’s better health! 🥛💛 Today, simply giving turmeric milk may not be enough for optimal health. Ayurveda offers a rich variety of magical herbs that, when combined, can significantly enhance turmeric milk’s benefits. Our Kesar-Haldi milk blend incorporates these herbs to support your child’s health comprehensively. Featuring: 💪 Hadjod: Strengthens bones and joints. 🌿 Jyotishmati: Supports a healthy nervous system. 🍃 Anantamoola: Aids digestion and alleviates gas. 🛡️ Haldi: Boosts immunity and reduces inflammation. Enhance the power of your regular turmeric milk with our Nutriverse Kesar Haldi Milk Mix. 📌Click the link in bio to know more!",static image,2026-02-07,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=1171967184774106,discount / offer,"['discount / offer', 'parenting pain point']",2,29,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,1171967184774106,IMAGE,696,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,1,0,5
BabyOrgano,Baby care,Thinking about Swarnaprashan for your child? 🤔 Here’s Dr. Rajshree answering the questions parents ask us the most. Your question could be the next one we answer. Comment below!👇,video,2026-02-07,"Facebook, Instagram, Threads",https://www.facebook.com/ads/library/?id=744153018465589,other / unclassified,['other / unclassified'],1,29,BabyOrgano Authentic Ayurvedic Health & Wellness Products for kids,553299865139117,744153018465589,VIDEO,178,yes,Order now,,NOT_VERIFIED,37563,"Kids wellness and nutrition brand with overlap on gummies, immunity, and mom-friendly reassurance-led positioning.",BabyOrgano,0,1,5
